month,region,technology,area_type,active_ca,total_homepass,penetration_rate
01,Bekasi,FTTH,Open Access,25,24,104.17
02,Bekasi,FTTH,Open Access,29,27,107.41
03,Bekasi,FTTH,Open Access,32,29,110.34
04,Bekasi,FTTH,Open Access,37,34,108.82
05,Bekasi,FTTH,Open Access,47,44,106.82
06,Bekasi,FTTH,Open Access,53,49,108.16
07,Bekasi,FTTH,Open Access,54,50,108.0
08,Bekasi,FTTH,Open Access,58,54,107.41
09,Bekasi,FTTH,Open Access,62,58,106.9
10,Bekasi,FTTH,Open Access,63,59,106.78
11,Bekasi,FTTH,Open Access,62,56,110.71
12,Bekasi,FTTH,Open Access,62,56,110.71
06,Jakarta Utara,FTTH,Open Access,51,48,106.25
07,Jakarta Utara,FTTH,Open Access,55,51,107.84
08,Jakarta Utara,FTTH,Open Access,59,55,107.27
09,Jakarta Utara,FTTH,Open Access,60,57,105.26
10,Jakarta Utara,FTTH,Open Access,62,58,106.9
01,Jakarta Timur,FTTH,Exclusive,6,6,100.0
02,Jakarta Timur,FTTH,Exclusive,7,7,100.0
03,Jakarta Timur,FTTH,Exclusive,6,6,100.0
04,Jakarta Timur,FTTH,Exclusive,6,6,100.0
05,Jakarta Timur,FTTH,Exclusive,7,7,100.0
06,Jakarta Timur,FTTH,Exclusive,9,9,100.0
07,Jakarta Timur,FTTH,Exclusive,14,14,100.0
08,Jakarta Timur,FTTH,Exclusive,19,19,100.0
09,Jakarta Timur,FTTH,Exclusive,19,19,100.0
10,Jakarta Timur,FTTH,Exclusive,19,19,100.0
11,Jakarta Timur,FTTH,Exclusive,22,22,100.0
12,Jakarta Timur,FTTH,Exclusive,22,22,100.0
01,Jakarta Utara,FTTH,Exclusive,6,6,100.0
02,Jakarta Utara,FTTH,Exclusive,6,6,100.0
03,Jakarta Utara,FTTH,Exclusive,7,7,100.0
04,Jakarta Utara,FTTH,Exclusive,9,9,100.0
05,Jakarta Utara,FTTH,Exclusive,11,11,100.0
06,Jakarta Utara,FTTH,Exclusive,11,11,100.0
07,Jakarta Utara,FTTH,Exclusive,12,12,100.0
08,Jakarta Utara,FTTH,Exclusive,14,14,100.0
09,Jakarta Utara,FTTH,Exclusive,16,16,100.0
10,Jakarta Utara,FTTH,Exclusive,21,21,100.0
11,Jakarta Utara,FTTH,Exclusive,23,22,104.55
12,Jakarta Utara,FTTH,Exclusive,22,21,104.76
01,Jakarta Barat,FTTH,Exclusive,3,3,100.0
02,Jakarta Barat,FTTH,Exclusive,4,4,100.0
03,Jakarta Barat,FTTH,Exclusive,6,6,100.0
04,Jakarta Barat,FTTH,Exclusive,7,7,100.0
